record_id,date,hospital_name,department,hospital_type,city,ward,weekend_flag,holiday_flag,season,disease_outbreak_flag,total_beds,occupied_beds,reserved_beds,available_beds,emergency_beds,ICU_beds,ICU_occupied,ventilators_available,daily_admissions,daily_discharge,emergency_cases,staff_on_duty,nurses_on_duty,doctors_on_duty,average_length_of_stay,patient_turnover_rate,occupancy_rate,mortality_rate,infection_rate,temperature,ICU_occupancy_rate,bed_utilization_ratio,admission_discharge_ratio,staff_to_patient_ratio,nurse_to_patient_ratio,doctor_to_patient_ratio,emergency_pressure_index,bed_shortage_flag,high_occupancy_flag,critical_occupancy_flag,seven_day_rolling_occupancy,fourteen_day_rolling_occupancy,occupancy_lag_1,occupancy_lag_7,admissions_lag_1,discharge_lag_1,hospital_average_occupancy,department_average_occupancy,monthly_average_occupancy,weekend_staffing_gap,outbreak_pressure_score,seasonal_demand_index
HBO-000003,2024-01-01,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,1.0,Winter,0.0,60.0,36.0,1.0,23.0,4.0,7.0,4.0,3.0,6.0,10.0,10.0,15.0,11.0,2.0,1.07,16.67,60.0,2.14,9.03,20.3,57.14285714285714,0.6166666666666667,0.6,0.4166666666666667,0.3055555555555556,0.05555555555555555,2.5,0,0,0,,,,,,,,,,0.0,0.0,
HBO-000033,2024-01-02,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,48.0,30.0,3.0,15.0,3.0,6.0,4.0,5.0,8.5,3.0,10.0,17.0,8.0,3.0,3.6,6.25,62.5,1.17,8.43,17.4,66.66666666666666,0.6875,2.8333333333333335,0.5666666666666667,0.26666666666666666,0.1,3.3333333333333335,0,0,0,60.0,60.0,60.0,,6.0,10.0,60.0,60.0,60.0,0.0,0.0,1.0
HBO-000063,2024-01-03,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,55.0,35.0,3.0,17.0,3.0,7.0,4.0,3.0,11.0,9.0,12.0,17.0,11.0,3.3591370558375635,2.46,16.36,63.63636363636363,0.41,4.29,18.1,57.14285714285714,0.6909090909090909,1.2222222222222223,0.4857142857142857,0.3142857142857143,0.09597534445250182,4.0,0,0,0,61.25,61.25,62.5,,8.5,3.0,61.25,61.25,61.25,0.0,0.0,1.0
HBO-000093,2024-01-04,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,49.0,34.0,3.0,12.0,3.0,6.0,5.0,1.0,5.0,2.0,8.0,13.0,8.0,2.0,5.88,4.08,69.38775510204081,5.58,3.36,19.26666666666667,83.33333333333334,0.7551020408163265,2.5,0.38235294117647056,0.23529411764705882,0.058823529411764705,2.6666666666666665,0,0,0,62.04545454545454,62.04545454545454,63.63636363636363,,11.0,9.0,62.04545454545454,62.04545454545454,62.04545454545454,0.0,0.0,1.0
HBO-000123,2024-01-05,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,55.0,36.0,3.0,16.0,3.0,7.0,4.0,3.0,4.0,6.0,9.0,16.89328537170264,13.0,5.0,3.49,10.91,65.45454545454545,3.18,0.61,20.433333333333334,57.14285714285714,0.7090909090909091,0.6666666666666666,0.46925792699173996,0.3611111111111111,0.1388888888888889,3.0,0,0,0,63.88102968460111,63.88102968460111,69.38775510204081,,5.0,2.0,63.88102968460112,63.88102968460112,63.88102968460112,0.0,0.0,1.0
HBO-000153,2024-01-06,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,37.0,27.0,1.0,9.0,2.0,4.0,3.0,2.0,7.0,5.0,10.0,9.0,5.0,1.0,3.24,13.51,72.97297297297297,1.03,1.24,21.6,75.0,0.7567567567567568,1.4,0.3333333333333333,0.18518518518518517,0.037037037037037035,5.0,0,0,0,64.19573283858998,64.19573283858998,65.45454545454545,,4.0,6.0,64.19573283858998,64.19573283858998,64.19573283858998,7.893285371702639,0.0,1.0
HBO-000183,2024-01-07,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,49.0,39.0,1.0,9.0,3.0,6.0,6.0,1.0,5.0,7.0,6.0,19.0,13.0,4.0,5.46,14.29,79.59183673469387,1.35,4.37,16.2,100.0,0.8163265306122449,0.7142857142857143,0.48717948717948717,0.3333333333333333,0.10256410256410256,2.0,0,0,0,65.65860619432048,65.65860619432048,72.97297297297297,,7.0,5.0,65.65860619432048,65.65860619432048,65.65860619432048,0.0,0.0,1.0
HBO-000213,2024-01-08,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,53.0,35.0,2.0,16.0,3.0,6.0,4.0,5.0,5.0,7.5,10.0,16.89328537170264,10.0,3.0,1.15,7.55,66.0377358490566,9.46,0.18,21.7,66.66666666666666,0.6981132075471698,0.6666666666666666,0.4826652963343611,0.2857142857142857,0.08571428571428572,3.3333333333333335,0,0,0,67.64906770008811,67.64906770008811,79.59183673469387,60.0,5.0,7.0,67.64906770008811,67.64906770008811,67.64906770008811,0.0,0.0,1.0
HBO-000243,2024-01-09,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,37.0,28.0,2.0,7.0,2.0,4.0,2.0,4.0,5.0,8.0,8.0,14.0,9.0,3.0,5.22,21.62,75.67567567567568,5.14,1.18,18.0,50.0,0.8108108108108109,0.625,0.5,0.32142857142857145,0.10714285714285714,4.0,0,0,0,68.51160139281048,67.44765121870917,66.0377358490566,62.5,5.0,7.5,67.44765121870915,67.44765121870915,67.44765121870915,0.0,0.0,0.9999999999999996
HBO-000273,2024-01-10,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,52.0,37.0,4.0,11.0,3.0,6.0,4.0,3.0,8.0,7.0,8.0,18.0,11.0,3.3591370558375635,10.27,13.46,71.15384615384616,0.42,1.83,19.2,66.66666666666666,0.7884615384615384,1.1428571428571428,0.4864864864864865,0.2972972972972973,0.09078748799560983,2.6666666666666665,0,0,0,70.39384077504987,68.36187615837211,75.67567567567568,63.63636363636363,5.0,8.0,68.36187615837211,68.36187615837211,68.36187615837211,0.0,0.0,0.9999999999999998
