experiment_id,timestamp_utc,random_seed,imputation_method,model_name,hyperparameters,validation_score,test_score,runtime_seconds,notes
EXP-20260720044923535852,2026-07-20T04:49:23.535852+00:00,42,hybrid,Logistic Regression,{},0.9890726393712459,,0.2557082999992417,Validation threshold=0.42; score=0.6 recall + 0.4 ROC-AUC
EXP-20260720044924883407,2026-07-20T04:49:24.883407+00:00,42,hybrid,Random Forest,{},0.9761700807487139,,1.344920399998955,Validation threshold=0.42; score=0.6 recall + 0.4 ROC-AUC
EXP-20260720044929666117,2026-07-20T04:49:29.666117+00:00,42,hybrid,Gradient Boosting,{},0.9743413852239333,,4.784449799997674,Validation threshold=0.42; score=0.6 recall + 0.4 ROC-AUC
EXP-20260720044930286457,2026-07-20T04:49:30.286457+00:00,42,hybrid,XGBoost,{},0.9697860202173407,,0.6176398000025074,Validation threshold=0.42; score=0.6 recall + 0.4 ROC-AUC
EXP-20260720050223262682,2026-07-20T05:02:23.262682+00:00,42,hybrid,Logistic Regression,{},0.9389705185325623,,0.21103099999891128,Validation threshold=0.42; score=0.6 recall + 0.4 ROC-AUC
EXP-20260720050223558333,2026-07-20T05:02:23.558333+00:00,42,hybrid,Decision Tree,{},0.8240177871232948,,0.291367400001036,Validation threshold=0.42; score=0.6 recall + 0.4 ROC-AUC
EXP-20260720050225218845,2026-07-20T05:02:25.218845+00:00,42,hybrid,Random Forest,{},0.9284740475185067,,1.66077779999614,Validation threshold=0.42; score=0.6 recall + 0.4 ROC-AUC
EXP-20260720050230011032,2026-07-20T05:02:30.011032+00:00,42,hybrid,Gradient Boosting,{},0.753675919302993,,4.78546869999991,Validation threshold=0.42; score=0.6 recall + 0.4 ROC-AUC
EXP-20260720050230748649,2026-07-20T05:02:30.748649+00:00,42,hybrid,XGBoost,{},0.7688139332465809,,0.749367299998994,Validation threshold=0.42; score=0.6 recall + 0.4 ROC-AUC
EXP-20260720050234300829,2026-07-20T05:02:34.300829+00:00,42,hybrid,Support Vector Machine,{},0.7636070631425642,,3.542958699996234,Validation threshold=0.42; score=0.6 recall + 0.4 ROC-AUC
EXP-20260720050235673070,2026-07-20T05:02:35.673070+00:00,42,hybrid,K-Nearest Neighbors,{},0.7388671050250348,,1.3760982999956468,Validation threshold=0.42; score=0.6 recall + 0.4 ROC-AUC
EXP-20260720050339642107,2026-07-20T05:03:39.642107+00:00,42,hybrid,Logistic Regression,{},0.9389705185325623,,0.2798435000004247,Validation threshold=0.42; score=0.6 recall + 0.4 ROC-AUC
EXP-20260720050339808897,2026-07-20T05:03:39.808897+00:00,42,hybrid,Decision Tree,{},0.8240177871232948,,0.17921949999436038,Validation threshold=0.42; score=0.6 recall + 0.4 ROC-AUC
EXP-20260720050340914030,2026-07-20T05:03:40.914030+00:00,42,hybrid,Random Forest,{},0.9284740475185067,,1.1023528000005172,Validation threshold=0.42; score=0.6 recall + 0.4 ROC-AUC
EXP-20260720050344119805,2026-07-20T05:03:44.119805+00:00,42,hybrid,Gradient Boosting,{},0.753675919302993,,3.1974729000066873,Validation threshold=0.42; score=0.6 recall + 0.4 ROC-AUC
EXP-20260720050344619808,2026-07-20T05:03:44.619808+00:00,42,hybrid,XGBoost,{},0.7688139332465809,,0.49964680000266526,Validation threshold=0.42; score=0.6 recall + 0.4 ROC-AUC
